"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","91","Изменение имени авторизованным пользователем","tests","2026-09-22","passed","2026-09-22","TestUserUpdate","test_user_update","",""
"","98","Создание пользователя без пароля — 403","tests","2026-09-22","passed","2026-09-22","TestUserCreation","test_user_creation","",""
"","91","Изменение пароля без авторизации — 401","tests","2026-09-22","passed","2026-09-22","TestUserUpdate","test_user_update","",""
"","197","Создание уникального пользователя","tests","2026-09-22","passed","2026-09-22","TestUserCreation","test_user_creation","",""
"","77","Получение заказов неавторизованным — 401","tests","2026-09-22","passed","2026-09-22","TestUserOrders","test_user_orders","",""
"","73","Создание заказа с невалидным хэшем ингредиента — 500","tests","2026-09-22","passed","2026-09-22","TestOrderCreation","test_order_creation","",""
"","194","Авторизация существующего пользователя","tests","2026-09-22","passed","2026-09-22","TestUserLogin","test_user_login","",""
"","77","Создание заказа без ингредиентов — 400","tests","2026-09-22","passed","2026-09-22","TestOrderCreation","test_order_creation","",""
"","76","Создание пользователя без email — 403","tests","2026-09-22","passed","2026-09-22","TestUserCreation","test_user_creation","",""
"","1078","Создание заказа авторизованным пользователем с ингредиентами","tests","2026-09-22","passed","2026-09-22","TestOrderCreation","test_order_creation","",""
"","68","Изменение email без авторизации — 401","tests","2026-09-22","passed","2026-09-22","TestUserUpdate","test_user_update","",""
"","163","Получение заказов авторизованным пользователем","tests","2026-09-22","passed","2026-09-22","TestUserOrders","test_user_orders","",""
"","70","Изменение имени без авторизации — 401","tests","2026-09-22","passed","2026-09-22","TestUserUpdate","test_user_update","",""
"","360","Изменение пароля авторизованным пользователем","tests","2026-09-22","passed","2026-09-22","TestUserUpdate","test_user_update","",""
"","78","Авторизация с неверными данными — 401","tests","2026-09-22","passed","2026-09-22","TestUserLogin","test_user_login","",""
"","98","Изменение email авторизованным пользователем","tests","2026-09-22","passed","2026-09-22","TestUserUpdate","test_user_update","",""
"","91","Создание уже зарегистрированного пользователя — 403","tests","2026-09-22","passed","2026-09-22","TestUserCreation","test_user_creation","",""
"","75","Создание пользователя без имени — 403","tests","2026-09-22","passed","2026-09-22","TestUserCreation","test_user_creation","",""
